Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "miif.brd" as of: 4/11/24 2:23 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BATT1,Top,0.150,4.100,90
C1,Top,1.650,0.300,90
C2,Top,2.150,0.350,270
C3,Top,1.750,0.750,270
C4,Top,2.200,0.750,270
C5,Top,1.350,0.800,90
C6,Top,1.450,0.800,90
C7,Top,0.900,0.900,180
C8,Top,0.900,0.800,180
C9,Top,2.850,0.100,0
C10,Top,2.850,0.200,0
C11,Top,2.800,0.650,90
C12,Top,2.900,0.650,90
C13,Top,3.000,0.650,90
C14,Top,2.600,0.625,180
C15,Top,2.800,0.925,270
C16,Top,1.600,5.250,270
C17,Top,0.400,4.450,270
C18,Top,0.700,2.975,270
C19,Top,0.825,2.775,0
C20,Top,0.525,2.800,0
C21,Top,0.450,3.825,0
C22,Top,0.450,3.575,0
C23,Top,0.625,4.125,0
C24,Top,0.700,2.150,180
C25,Top,0.750,1.575,90
C26,Top,1.650,1.125,90
C27,Top,1.575,1.125,90
C28,Top,1.250,1.150,90
C29,Top,2.250,1.125,90
C30,Top,1.950,1.125,270
C31,Top,2.025,1.125,270
C32,Top,2.100,1.125,270
C33,Top,1.800,1.125,270
C34,Top,1.725,1.125,270
C35,Top,1.650,1.350,270
C36,Top,1.375,2.325,180
C37,Top,1.375,2.075,180
C38,Top,1.375,1.725,180
C39,Top,1.500,2.425,180
C40,Top,1.375,2.250,180
C41,Top,1.375,1.925,180
C42,Top,1.375,1.575,180
C43,Top,1.725,2.525,90
C44,Top,1.800,2.525,90
C45,Bottom,1.825,2.200,270
C46,Bottom,1.925,2.225,270
C47,Bottom,2.000,2.225,270
C48,Top,2.250,2.375,0
C49,Bottom,2.300,2.300,180
C50,Bottom,1.975,2.100,0
C51,Bottom,1.975,2.000,0
C52,Bottom,1.975,1.925,0
C53,Bottom,1.975,1.825,0
C54,Bottom,2.300,1.600,180
C55,Top,2.250,1.525,0
C56,Bottom,2.000,1.700,90
C57,Bottom,1.925,1.700,90
C58,Bottom,1.825,1.700,90
C59,Top,1.800,1.350,270
C60,Top,1.725,1.350,270
C61,Top,1.325,2.425,180
C62,Top,1.275,1.350,180
C63,Top,1.275,1.450,180
C64,Top,1.500,2.800,180
C65,Top,3.025,3.100,0
C66,Top,3.025,3.150,0
C67,Top,3.025,3.300,180
C68,Top,3.025,3.250,180
C69,Top,2.950,2.750,0
C70,Top,2.950,2.800,0
C71,Top,2.950,2.650,180
C72,Top,2.950,2.600,180
C73,Top,3.350,2.200,0
C74,Top,3.350,2.250,0
C75,Top,3.350,2.100,180
C76,Top,3.350,2.050,180
C77,Top,3.350,2.375,0
C78,Top,3.350,2.425,0
C79,Top,3.350,2.575,180
C80,Top,3.350,2.525,180
C81,Top,3.350,0.875,0
C82,Top,3.350,0.925,0
C83,Top,3.350,1.075,180
C84,Top,3.350,1.025,180
C85,Top,3.350,1.350,0
C86,Top,3.350,1.400,0
C87,Top,3.350,1.250,180
C88,Top,3.350,1.200,180
C89,Bottom,2.775,1.725,180
C90,Bottom,2.631,1.598,0
C91,Bottom,3.100,1.725,180
C92,Bottom,3.400,1.675,0
C93,Bottom,3.400,1.775,0
C94,Top,2.175,2.700,0
C95,Top,2.175,2.750,0
C96,Top,2.175,2.850,0
C97,Top,2.175,2.900,0
CM,Top,1.900,3.500,0
CON3,Top,0.100,3.300,270
CON4,Top,1.800,3.125,180
CON5,Top,3.300,4.600,0
D1,Top,1.800,0.300,90
D2,Top,2.025,0.350,270
D3,Top,0.625,4.275,180
D4,Top,1.325,2.525,90
JP1,Top,1.350,1.150,270
JP2,Top,1.075,1.450,0
JP3,Top,1.075,1.250,0
JP4,Top,1.675,2.700,0
JP5,Top,1.150,2.300,180
JP6,Top,1.150,2.200,180
JP7,Top,1.150,2.100,180
JP8,Top,1.150,2.000,180
JP9,Top,1.150,1.900,180
JP10,Top,1.150,1.800,180
JP11,Top,1.150,1.700,180
JP12,Top,1.150,1.600,180
L1,Top,1.475,1.100,180
L2,Top,2.175,1.125,90
L3,Top,1.875,1.125,270
LED1,Top,1.025,1.025,90
LED2,Top,1.025,1.100,90
LED3,Top,2.850,5.150,180
LED4,Top,3.050,5.150,180
LED5,Top,1.025,2.425,270
M1,Top,4.125,3.950,0
M2,Top,5.575,3.950,0
M3,Top,4.125,2.250,0
M4,Top,5.575,2.250,0
M5,Top,4.125,0.550,0
M6,Top,5.575,0.550,0
M7,Bottom,4.288,1.751,90
PS1,Top,1.150,0.850,270
PS2,Top,2.900,0.400,180
Q1,Top,2.350,0.300,180
R1,Top,1.925,0.350,270
R2,Top,1.100,0.650,180
R3,Top,0.975,0.675,90
R4,Top,0.875,1.025,0
R5,Top,2.725,0.425,90
R6,Top,2.650,0.500,90
R7,Top,0.875,1.100,0
R8,Top,2.450,0.875,180
R9,Top,2.425,1.000,90
R10,Top,2.175,3.325,0
R11,Bottom,1.424,3.178,180
R12,Bottom,1.424,3.077,180
R13,Top,0.675,4.450,270
R14,Top,0.950,3.000,180
R15,Top,3.275,4.775,270
R16,Top,3.375,4.775,270
R17,Top,0.750,1.825,180
R18,Top,2.950,5.150,270
R19,Top,3.150,5.150,270
R20,Top,2.325,1.950,0
R21,Top,1.325,2.625,180
R22,Top,1.550,1.425,90
R23,Top,1.325,2.700,180
R24,Top,1.325,2.775,180
R25,Top,1.075,1.350,0
R26,Top,1.675,2.800,180
R27,Top,1.025,2.300,180
R28,Top,1.025,2.200,180
R29,Top,1.025,2.100,180
R30,Top,1.025,2.000,180
R31,Top,1.025,1.900,180
R32,Top,1.025,1.800,180
R33,Top,1.025,1.700,180
R34,Top,1.025,1.600,180
R35,Top,1.150,2.425,180
R36,Bottom,2.875,3.100,0
R37,Bottom,2.875,3.150,0
R38,Bottom,2.875,3.300,0
R39,Bottom,2.875,3.250,0
R40,Bottom,2.800,2.750,0
R41,Bottom,2.800,2.800,0
R42,Bottom,2.800,2.650,0
R43,Bottom,2.800,2.600,0
R44,Bottom,3.200,2.200,0
R45,Bottom,3.200,2.250,0
R46,Bottom,3.200,2.100,0
R47,Bottom,3.200,2.050,0
R48,Bottom,3.200,2.375,0
R49,Bottom,3.200,2.425,0
R50,Bottom,3.200,2.575,0
R51,Bottom,3.200,2.525,0
R52,Bottom,3.200,0.875,0
R53,Bottom,3.200,0.925,0
R54,Bottom,3.200,1.075,0
R55,Bottom,3.200,1.025,0
R56,Bottom,3.200,1.350,0
R57,Bottom,3.200,1.400,0
R58,Bottom,3.200,1.250,0
R59,Bottom,3.200,1.200,0
R60,Bottom,2.775,1.896,180
R61,Bottom,2.775,1.800,180
R62,Bottom,2.775,1.650,180
R63,Bottom,2.775,1.554,180
R64,Bottom,3.400,1.600,0
R65,Bottom,3.400,1.850,0
R66,Bottom,2.025,2.700,0
R67,Bottom,2.025,2.750,0
R68,Bottom,2.025,2.850,0
R69,Bottom,2.025,2.900,0
R70,Top,1.400,5.025,180
S1,Top,0.325,4.850,270
T1,Top,3.100,1.725,0
TP1,Top,1.375,2.875,0
TP2,Top,1.275,2.875,0
TP3,Top,1.475,2.875,0
TP4,Top,2.925,2.900,0
TP5,Top,1.870,2.800,0
U1,Top,2.650,0.850,0
U2,Top,0.550,4.450,270
U3,Top,0.825,2.925,0
U4,Top,0.700,2.350,180
U5,Top,0.450,3.700,270
U6,Top,0.675,3.925,0
U7,Top,0.750,1.975,270
U8,Top,1.850,1.950,90
U9,Top,1.500,2.675,90
XTAL1,Top,0.625,3.700,180
XTAL2,Top,1.425,1.400,90
